2018-10-14 14:38:59,889 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:39:31,676 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:39:31,680 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 14:39:31,681 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:40:48,120 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:40:48,123 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 14:40:48,124 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:40:58,829 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:40:58,832 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 14:40:58,833 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:43:04,603 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:43:04,607 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 14:43:04,608 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:45:24,267 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:45:24,270 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 14:45:24,271 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:46:13,634 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:46:13,638 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 14:46:13,638 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:46:28,054 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:46:28,057 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
2018-10-14 14:46:28,058 [main] ERROR library.DicLibrary - Init dic library error :org.ansj.exception.LibraryException:  path :library/default.dic file:D:\javaworkspace\NewsCertify-Common\library\default.dic not found or can not to read, path: library/default.dic
2018-10-14 14:46:49,588 [main] WARN  util.MyStaticValue - not find library.properties in classpath use it by default !
2018-10-14 14:46:49,592 [main] ERROR library.AmbiguityLibrary - Init ambiguity library error :org.ansj.exception.LibraryException:  path :library/ambiguity.dic file:D:\javaworkspace\NewsCertify-Common\library\ambiguity.dic not found or can not to read, path: library/ambiguity.dic
